,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
0,06000,France,Nice,130,,8,,1350
1,06000,France,Nice,150,,8,,1700
2,06000,France,Nice,111,,8,,2470
3,06600,France,Antibes,46,,8,,760
4,06160,France,Juan les Pins,66,,8,,1650
5,06220,France,Le Golfe Juan,300,,8,,3600
6,06220,France,Le Golfe Juan,300,,8,,3600
7,06800,France,Cagnes sur Mer,54,,8,,600
8,06400,France,Cannes,90,,8,,1950
9,06700,France,Saint-Laurent-du-Var,158,,8,,2200
10,06250,France,Mougins,10,,8,,269
11,06000,France,Nice,70,,8,,906
12,06400,France,Cannes,39,,8,,1100
13,06000,France,Nice,220,,8,,2800
14,06000,France,Nice,235,,8,,2650
15,06600,France,Antibes,23,,8,,590
16,06210,France,Mandelieu,81,,8,,1250
17,06000,France,Nice,110,,8,,1120
18,06160,France,Juan les Pins,66,,8,,1800
19,06000,France,Nice,145,,8,,1860
20,06000,France,Nice,168,,8,,2400
21,06560,France,Valbonne,60,,8,,1200
22,06220,France,Vallauris,23,,8,,479.99
23,06160,France,Antibes,41.51,,8,,850
24,06210,France,Mandelieu la Napoule,44,,8,,850
25,06600,France,Antibes,74,,8,,770.83
26,06150,France,Cannes la Bocca,51,,8,,888.25
27,06000,France,Nice,87,,8,,942.5
28,06000,France,Nice,80,,8,,1365
29,06700,France,Saint Laurent du Var,200,,8,,1333.33
30,06200,France,Nice,176,,8,,1602.04
31,06150,France,Cannes la Bocca,100,,8,,1741.67
32,06000,France,Nice,221,,8,,2394.17
33,06110,France,Le Cannet,300,,8,,2625
34,06110,France,Le Cannet,300,,8,,2625
35,06200,France,Nice,255,,8,,3506.25
36,06000,France,Nice,360,,8,,5000.1
37,06000,France,Nice,225,,8,,5000.06
38,06410,France,Sophia Antipolis,738,,8,,9778.5
39,06560,France,Valbonne,315,,8,,4200
40,06560,France,Valbonne,491,,8,,6546.67
41,06560,France,Valbonne,806,,8,,10746.67
42,06100,France,Nice,20,,8,,637.5
43,06000,France,Nice,110,,8,,1640.01
44,06000,France,Nice,216,,8,,1999.98
45,06000,France,Nice,124,,8,,2144
46,06000,France,Nice,165,,8,,2500.02
47,06560,France,Sophia Antipolis,970,,8,,14145.83
48,06340,France,La Trinite,42,,8,,550
49,06000,France,Nice,32,,8,,530
50,06000,France,Nice,45,,8,,770
51,06220,France,Vallauris,80,,8,,866.67
52,06220,France,Vallauris,120,,8,,1300
53,06600,France,Antibes,73,,8,,1550
54,06000,France,Nice,165,,8,,2200
55,06220,France,Vallauris,234,,8,,2535
56,06000,France,Nice,212,,8,,2800
57,06000,France,Nice,350,,8,,6500
58,06100,France,Nice,45,,8,,760
59,06000,France,Nice,66,,8,,900
60,06400,France,Cannes,102,,8,,1305
61,06000,France,Nice,135,,8,,1350
62,06200,France,Nice,140,,8,,2027.2
63,06560,France,Sophia Antipolis,274,,8,,3425
64,06000,France,Nice,285,,8,,2850
65,06220,France,Vallauris,485,,8,,4445.83
66,06560,France,Valbonne,73,,8,,950
67,06560,France,Valbonne,150,,8,,1687.5
68,06560,France,Valbonne,210,,8,,2537.5
69,06000,France,Nice,190,,8,,2999.94
70,06130,France,Grasse,22,,8,,265
71,06100,France,Nice,80,,8,,916.67
72,06600,France,Antibes,176,,8,,2200
73,06300,France,Nice,23.45,,8,,495
74,06200,France,Nice,32,,8,,400
75,06600,France,Antibes,125,,8,,3100
76,06110,France,Le Cannet,92,,8,,1117
77,06560,France,Valbonne,110,,8,,1054.17
78,06600,France,Antibes,49,,8,,635
79,06000,France,Nice,37,,8,,749.99
80,06200,France,Nice,32,,8,,400
81,06600,France,Antibes,29,,8,,1250
82,06220,France,Vallauris,434,,8,,4701.67
83,06200,France,Nice,568,,8,,7100
84,06200,France,Nice,1106,,8,,13364.17
85,06560,France,Sophia Antipolis,420,,8,,5915
86,06100,France,Nice,40,,8,,416.67
87,06800,France,Cagnes sur Mer,52,,8,,800
88,06220,France,Vallauris,81,,8,,833.36
89,06560,France,Valbonne,28,,8,,280
90,06000,France,Nice,370,,8,,3700
91,06000,France,Nice,360,,8,,5000.1
92,06300,France,Nice,600,,8,,7625
93,06370,France,Mouans Sartoux,880,,8,,8800
94,06400,France,Cannes,25,,8,,431
95,06000,France,Nice,111,,8,,1779
96,06220,France,Vallauris,40,,8,,366.67
97,06220,France,Vallauris,55,,8,,550
98,06110,France,Le Cannet,75,,8,,650
99,06600,France,Antibes,72,,8,,770
100,06220,France,Vallauris,116,,8,,1160
101,06220,France,Vallauris,160,,8,,1416.67
102,06220,France,Vallauris,160,,8,,1416.67
103,06000,France,Nice,138,,8,,1666.7
104,06220,France,Vallauris,228,,8,,2280
105,06000,France,Nice,220,,8,,3000
106,06220,France,Vallauris,208,,8,,4340.79
107,06220,France,Vallauris,485,,8,,4445.83
108,06220,France,Vallauris,624,,8,,6760
109,06110,France,Le Cannet,61,,8,,600
110,06220,France,Vallauris,114,,8,,1045
111,06200,France,Nice,10,,8,,329
112,06500,France,Menton,50,,8,,1100
113,06190,France,Roquebrune-Cap-Martin,45,,8,,1100
114,06000,France,Nice,60,,8,,1100
115,06000,France,Nice,91,,8,,1460
116,06300,France,Nice,138,,8,,1625
117,06000,France,Nice,32,,8,,1800
118,06000,France,Nice,89,,8,,550
119,06200,France,Nice,61.4,,8,,712
120,06100,France,Nice,45,,8,,600
121,06800,France,Cagnes-sur-Mer,80,,8,,700
122,06700,France,Saint Laurent du Var,106,,8,,1204
123,06000,France,Nice,65,,8,,1200
124,06000,France,Nice,92,,8,,1035
125,06600,France,Antibes,100,,8,,1350
126,06700,France,Saint Laurent du Var,155,,8,,1488
127,06000,France,Nice,85,,8,,1200
128,06000,France,Nice,125,,8,,1250
129,06200,France,Nice,120,,8,,1562
130,06000,France,Nice,138,,8,,1600
131,06300,France,Nice,150,,8,,1625
132,06000,France,Nice,153,,8,,1800
133,06200,France,Nice,200,,8,,1850
134,06270,France,Villeneuve-Loubet,180,,8,,2400
135,06800,France,Cagnes-sur-Mer,209,,8,,2727
136,06200,France,Nice,283,,8,,2541
137,06200,France,Nice,520,,8,,3537
138,06270,France,Villeneuve-Loubet,1255,,8,,5000
139,06110,France,Le Cannet,30,,8,,12550
140,06340,France,La Trinité,70,,8,,1100
141,06000,France,Nice,38,,8,,1975
142,06200,France,Nice,56,,8,,633
143,06600,France,Antibes,50,,8,,750
144,06100,France,Nice,48,,8,,700
145,06200,France,Nice,80,,8,,680
146,06110,France,Le Cannet,52,,8,,850
147,06000,France,Nice,,,8,,850
148,06150,France,Cannes,,,8,,850
149,06400,France,Cannes,,,8,,800
150,06400,France,Cannes,52,,8,,800
151,06300,France,Nice,63,,8,,800
152,06200,France,Nice,76,,8,,950
153,06800,France,Cagnes sur Mer,49.5,,8,,1000
154,06800,France,Cagnes sur Mer,49.5,,8,,1000
155,06000,France,Nice,91,,8,,1130
156,06200,France,Nice,176,,8,,1324
157,06700,France,Saint-Laurent-du-Var,130,,8,,1500
158,06000,France,Nice,162,,8,,1915
159,06000,France,Nice,170,,8,,1800
160,06600,France,Antibes,126,,8,,2250
161,06000,France,Nice,160,,8,,2050
162,06220,France,Vallauris,228,,8,,2280
163,06800,France,Cagnes-sur-Mer,260,,8,,2600
164,06000,France,Nice,130,,8,,3000
165,06300,France,Nice,390,,8,,3000
166,06000,France,Nice,380,,8,,3800
167,06000,France,Nice,547,,8,,7977
168,06000,France,Nice,420,,8,,12500
169,06200,France,Nice,1614,,8,,23333
170,06000,France,Nice,30,,8,,500
171,06100,France,Nice,35,,8,,500
172,06300,France,Nice,40,,8,,700
173,06100,France,Nice,55,,8,,640
174,06000,France,Nice,57,,8,,650
175,06100,France,Nice,40,,8,,690
176,06700,France,Saint-Laurent-du-Var,52,,8,,800
177,06000,France,Nice,37,,8,,770
178,06300,France,Nice,60,,8,,900
179,06800,France,Cagnes-sur-Mer,95,,8,,1350
180,06000,France,Nice,110,,8,,1120
181,06300,France,Nice,50,,8,,1685
182,06100,France,Nice,29,,8,,450
183,06200,France,Nice,88,,8,,580
184,06410,France,Sophia Antipolis,140,,8,,1246.67
185,06300,France,Nice,230,,8,,1500
186,06250,France,Sophia Antipolis,210,,8,,3009.17
187,06410,France,Sophia Antipolis,240,,8,,2666.65
188,06270,France,Villeneuve Loubet,339,,8,,4294
189,06000,France,Nice,806,,8,,5000
190,06560,France,Sophia Antipolis,1568,,8,,10746.67
191,06560,France,Sophia Antipolis,12,,8,,29400
192,06300,France,Nice,15,,8,,200
193,06300,France,Nice,34,,8,,250
194,06000,France,Nice,48,,8,,512
195,06200,France,Nice,70,,8,,800
196,06800,France,Cagnes-sur-Mer,70,,8,,790
