,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
0,06100,France,Nice,5000,,4,,45
1,06200,France,Nice,150,,4,,70
2,06100,France,Nice,,,4,,80
3,06100,France,Nice,,,4,,85
4,06000,France,Nice,,,4,,120
5,06270,France,Villeneuve-Loubet,,,4,,42
6,06700,France,Saint-Laurent-du-Var,,,4,,67
7,06570,France,Saint Paul de Vence,,,4,,4000
8,06670,France,Colomars,,,4,,700
0,13730,France,Saint Victoret,100,,4,,2800
1,13014,France,Marseille 14ème Arrondissement,3000,,4,,3250
2,13320,France,Bouc Bel Air,380,,4,,450
3,13090,France,Aix en Provence,700,,4,,1860
4,13127,France,Vitrolles,15000,,4,,13344
5,13100,France,Aix en Provence,380,,4,,450
6,13500,France,Martigues,700,,4,,1600
7,13170,France,Plan de Campagne,2600,,4,,1000
8,13320,France,Bouc Bel Air,800,,4,,2500
0,21000,France,Dijon,4000,,4,,1200
0,31380,France,Bazus,2032,,4,,119000
1,31790,France,St Jory,1897,,4,,600.72
2,31790,France,St Jory,3072,,4,,3200
3,31590,France,Verfeil,2244,,4,,935
0,33185,France,Le Haillan,600,,4,,600
0,34160,France,Boisseron,6000,,4,,1368
1,34420,France,Villeneuve les Beziers,1732,,4,,720
2,34750,France,Villeneuve les Maguelone,2000,,4,,1500
3,34740,France,Vendargues,207,,4,,5083.4
4,34130,France,Mauguio,5880,,4,,2499.59
0,35890,France,Laille,4000,,4,,2000
1,35380,France,Treffendel,4160,,4,,500
2,35530,France,Noyal sur Vilaine,4002,,4,,2001
0,37380,France,Monnaie,2735,,4,,840
1,37300,France,Joue les Tours,9300,,4,,1550
0,38530,France,Pontcharra,4000,,4,,4000
1,38190,France,Froges,15677,,4,,4572.46
0,42640,France,Saint-Germain-Lespinasse,250,,4,,460
0,44600,France,Saint-Nazaire,6143,,4,,4095
0,45370,France,Dry,5000,,4,,550
1,45370,France,Dry,,,4,,600
0,49000,France,Écouflant,10000,,4,,3333.33
1,49070,France,St Lambert la Potherie,5661,,4,,800
0,59500,France,Douai,620,,4,,917
0,66000,France,Perpignan,10000,,4,,650
0,67960,France,Entzheim,420000,,4,,140000
0,69007,France,Lyon 7ème,10000,,4,,42
1,69100,France,Villeurbanne,250,,4,,59
2,69004,France,Lyon 4ème,2000,,4,,70
3,69006,France,Lyon 6ème,5000,,4,,90
4,69100,France,Villeurbanne,3548,,4,,59
5,69100,France,Villeurbanne,2000,,4,,59
6,69006,France,Lyon 6ème,,,4,,96
7,69100,France,Villeurbanne,,,4,,20
8,69400,France,Villefranche-sur-Saône,,,4,,50
9,69630,France,Chaponost,,,4,,100
10,69800,France,Saint Priest,,,4,,8250.5
11,69480,France,Amberieux,,,4,,1000
12,69680,France,Chassieu,,,4,,2916.67
13,69800,France,Saint-Priest,,,4,,5416.66
14,69100,France,Villeurbanne,,,4,,4583
0,75011,France,Paris 11ème,375,,4,,5000
0,76600,France,Le Havre,750,,4,,550
1,76600,France,Le Havre,750,,4,,500
2,76700,France,Gonfreville l'Orcher,1500,,4,,1000
3,76700,France,Gonfreville l'Orcher,5700,,4,,3800
4,76560,France,Doudeville,3500,,4,,200
0,80340,France,Bray-sur-Somme,450,,4,,330
