,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
0,06300,France,Nice,28.45,1,9,1,480
1,06110,France,Le Cannet,80,3,9,2,1400
2,06400,France,Cannes,71,1,9,1,890
3,06000,France,Nice,180,1,9,,700
4,06300,France,Nice,,1,9,,2200
0,13001,France,Marseille 1er,56.52,1,9,1,650
1,13001,France,Marseille 1er,56.52,2,9,1,650
2,13006,France,Marseille 6ème,40,1,9,2,590
3,13100,France,Aix en Provence,42,1,9,1,720
4,13001,France,Marseille 1er,88,3,9,,1020
5,13007,France,Marseille 7ème,68,1,9,,750
6,13150,France,Tarascon,65,2,9,,560
0,25000,France,Besançon,167,4,9,3,1340
1,25000,France,Besançon,190,5,9,,1441
0,31300,France,Toulouse,1100,6,9,,5500
0,34130,France,Mauguio,45,1,9,1,800
1,34700,France,Soubes,45,1,9,1,410
2,34000,France,Montpellier,30,1,9,1,200.87
3,34500,France,Béziers,29,1,9,1,300
4,34000,France,Montpellier,90,1,9,,1000
5,34800,France,Clermont l Herault,60,1,9,,420
0,35500,France,Vitré,,1,9,1,1200
0,42000,France,Saint-Étienne,83,3,9,2,900
1,42000,France,St Etienne,55,2,9,1,575
0,44450,France,La Chapelle Basse Mer,70,3,9,2,650
0,51000,France,Châlons-en-Champagne,114,,9,1,1250
0,59300,France,Valenciennes,180,6,9,4,1365
1,59200,France,Tourcoing,75,3,9,2,850
2,59100,France,Roubaix,166,5,9,4,1260
3,59500,France,Douai,135,2,9,1,1500
4,59000,France,Lille,179.4,4,9,1,2700
5,59100,France,Roubaix,264,5,9,1,1800
6,59200,France,Tourcoing,61,2,9,,550
0,69008,France,Lyon 8ème,140,4,9,,850
0,72000,France,Le Mans,228.89,6,9,4,1764.5
0,75015,France,Paris 15ème,50,2,9,1,1700
1,75006,France,Paris 6ème,40,2,9,1,1300
2,75017,France,Paris 17ème,77.38,2,9,1,1800
3,75005,France,Paris 5ème,43.66,1,9,1,1999
4,75011,France,Paris 11ème,150,6,9,3,3295
5,75116,France,Paris 16ème,104,3,9,2,3400
6,75005,France,Paris 5ème,65,3,9,2,2132
7,75009,France,Paris 9ème,42,1,9,1,1338
8,75001,France,Paris 1er,50,1,9,1,2200
9,75004,France,Paris 4ème,125,4,9,2,2750
10,75002,France,Paris 2ème,85,2,9,1,3500
11,75014,France,Paris 14ème,26,1,9,-1,810
12,75008,France,Paris 8ème,65,2,9,1,2500
13,75010,France,Paris 10ème,155,3,9,2,4000
14,75009,France,Paris 9ème,137,3,9,,2870
0,83000,France,Toulon,65,2,9,1,940
0,92340,France,Bourg la Reine,119.21,4,9,3,1800
1,92150,France,Suresnes,120,5,9,3,2500
2,92250,France,La Garenne Colombes,250,2,9,1,4800
3,92700,France,Colombes,70,1,9,1,1400
4,92600,France,Asnières sur Seine,73,2,9,1,1300
5,92300,France,Levallois Perret,136,3,9,2,3205
0,06000,France,Nice,93.79,3,9,2,380000
1,06400,France,Cannes,90,3,9,2,300000
2,06400,France,Cannes,45,1,9,1,595500
3,06300,France,Nice,91,3,9,2,385000
4,06500,France,Menton,76,4,9,2,425000
5,06000,France,Nice,129,4,9,2,539000
6,06500,France,Menton,166,5,9,4,1620000
7,06400,France,Cannes,83,3,9,1,162750
8,06000,France,Nice,114,3,9,1,795000
9,06000,France,Nice,186,4,9,1,1295000
10,06000,France,Nice,191,5,9,1,1495000
11,06140,France,Vence,80,2,9,1,185000
12,06100,France,Nice,63,1,9,3,199100
13,06300,France,Nice,44,2,9,6,229000
14,06600,France,Antibes,43,1,9,2,230000
15,06210,France,Mandelieu-la-Napoule,77.25,4,9,2,260000
16,06600,France,Antibes,202,7,9,2,340000
17,06000,France,Nice,93,3,9,2,355000
18,06400,France,Cannes,75,3,9,2,380000
19,06000,France,Nice,100,3,9,3,385000
20,06000,France,Nice,100,3,9,3,450000
21,06000,France,Nice,84,3,9,2,455000
22,06400,France,Cannes,116.84,4,9,3,462000
23,06000,France,Nice,102,4,9,3,495000
24,06000,France,Nice,114,3,9,2,550000
25,06130,France,Grasse,122.63,5,9,3,599000
26,06400,France,Cannes,149,5,9,4,693000
27,06190,France,Roquebrune Cap Martin,115,3,9,2,745000
28,06600,France,Antibes,147.95,4,9,3,775000
29,06400,France,Cannes,230,6,9,2,890000
30,06400,France,Cannes,225,3,9,3,920000
31,06000,France,Nice,231.59,4,9,4,1090000
32,06000,France,Nice,231.59,5,9,1,1090000
33,06400,France,Cannes,202,5,9,2,1390000
34,06000,France,Nice,158,5,9,4,1398000
35,06000,France,Nice Cimiez,76.4,1,9,2,295000
36,06000,France,Nice,104,2,9,3,320000
37,06000,France,Nice,144.5,3,9,4,415000
38,06000,France,Nice,250,6,9,4,550000
39,06140,France,Vence,142,4,9,2,735000
40,06400,France,Cannes,200,7,9,2,795000
41,06580,France,Pégomas,245,8,9,1,895000
42,06700,France,Saint Laurent du Var,135,5,9,2,997000
43,06400,France,Cannes,190,5,9,2,1120000
44,06400,France,Cannes,172.6,5,9,1,1190000
45,06300,France,Nice,42,1,9,,210000
46,06300,France,Nice,44,1,9,,229000
47,06300,France,Nice,100,3,9,,395000
48,06400,France,Cannes,170,1,9,,790000
49,06000,France,Nice,77,,9,,170000
50,06400,France,Cannes,102,4,9,3,499000
51,06400,France,Cannes,63,1,9,1,150000
52,06400,France,Cannes,258,1,9,2,400000
53,06500,France,Menton,43,2,9,1,297000
54,06190,France,Roquebrune Cap Martin,180,2,9,1,450000
55,06560,France,Sophia-Antipolis,65.61,1,9,3,200000
56,06400,France,Cannes,100,4,9,1,530000
57,06400,France,Cannes,70,2,9,1,328000
58,06320,France,Cap d'Ail,131,5,9,1,550000
59,06420,France,Rimplas,45,3,9,,33000
60,06000,France,Nice,74,6,9,,420000
61,06320,France,Cap d'Ail,106,2,9,,245000
62,06600,France,Antibes,,2,9,,299000
63,06620,France,Gréolières,,,9,,148400
0,13100,France,Saint Marc Jaumegarde,278,6,9,5,1150000
1,13006,France,Marseille 6ème,145,3,9,2,490000
2,13006,France,Marseille 6ème,270,10,9,9,445000
3,13003,France,Marseille 3ème,55,2,9,1,131000
4,13006,France,Marseille 6ème,115.53,5,9,3,210000
5,13001,France,Marseille 1er,70,1,9,1,240000
6,13006,France,Marseille 6ème,100,4,9,2,265000
7,13002,France,Marseille 2ème,95,2,9,1,295000
8,13013,France,Marseille 13ème,117,5,9,3,379000
9,13008,France,Marseille 8ème,139,4,9,3,598000
10,13007,France,Marseille 7ème,209,3,9,2,695000
11,13015,France,Marseille,450,8,9,6,795000
12,13002,France,Marseille 2ème,40,5,9,3,225000
13,13006,France,Marseille 6ème,120,3,9,1,130000
14,13400,France,Aubagne,121,3,9,2,269000
15,13001,France,Marseille 1er,390,1,9,2,425000
16,13009,France,Marseille 9ème,150,10,9,4,479000
17,13100,France,Aix en Provence,160,3,9,2,795000
18,13300,France,Salon de Provence,71,1,9,3,355000
19,13200,France,Arles,75,1,9,1,162000
20,13006,France,Marseille 6ème,60,3,9,2,95000
21,13001,France,Marseille 1er,128,3,9,1,260000
22,13006,France,Marseille 6ème,92.55,2,9,3,280000
23,13006,France,Marseille 6ème,130,1,9,3,295000
24,13124,France,Peypin,125,4,9,2,330000
25,13001,France,Marseille 1er,137,3,9,3,395000
26,13008,France,Marseille 8ème,300,5,9,3,598000
27,13300,France,Salon de Provence,200,4,9,3,624000
28,13550,France,Noves,237,5,9,4,845000
29,13100,France,Aix en Provence,83,6,9,1,1150000
30,13500,France,Martigues,140,1,9,3,145000
31,13005,France,Marseille 5ème,42,5,9,1,199000
32,13100,France,Aix en Provence,89,1,9,4,210000
33,13200,France,Arles,92.25,1,9,3,231000
34,13006,France,Marseille 6ème,240,1,9,3,280000
35,13013,France,Marseille 13ème,150,6,9,1,450000
36,13006,France,Marseille 6ème,250,1,9,1,469000
37,13540,France,Aix en Provence,180,5,9,2,1070000
38,13260,France,Cassis,54,6,9,1,1285000
39,13006,France,Marseille 6ème,41,2,9,1,159900
40,13100,France,Aix en Provence,194,4,9,4,155000
41,13006,France,Marseille 6ème,58.21,1,9,1,480000
42,13002,France,Marseille 2ème,90,2,9,1,76000
43,13009,France,Marseille 9ème,150,5,9,,279000
44,13014,France,Marseille 14ème,98,1,9,,136000
45,13002,France,Marseille 2ème,109.52,2,9,,149000
46,13001,France,Marseille 1er,,,9,,118000
0,21000,France,Dijon,400,6,9,4,349000
1,21000,France,Dijon,157,5,9,3,427000
2,21000,France,Dijon,166,6,9,3,1470000
3,21000,France,Dijon,500,7,9,5,449000
4,21200,France,Beaune,85,5,9,1,125000
5,21121,France,Fontaine les Dijon,,1,9,,
0,25000,France,Besancon,116,5,9,3,199000
1,25870,France,Bonnay,120,6,9,4,58000
0,29770,France,Audierne,63,2,9,1,135000
