,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
0,06000,France,Nice,25,2,1,1,500
1,06250,France,Mougins,45,2,1,1,820
2,06130,France,Grasse,31,1,1,1,555
3,06000,France,Nice,29,1,1,1,620
4,06000,France,Nice,40,2,1,1,700
5,06110,France,Le Cannet,32,2,1,1,720
6,06400,France,Cannes,50,2,1,1,790
7,06300,France,Nice,45.44,2,1,2,950
8,06300,France,Nice,53.01,2,1,2,1026
9,06000,France,Nice,64,3,1,2,1100
10,06800,France,Cagnes sur Mer,60,3,1,1,1250
11,06300,France,Nice,20,1,1,1,510
12,06000,France,Nice,28.18,1,1,2,675
13,06000,France,Nice,20.44,1,1,1,600
14,06000,France,Nice,91,3,1,2,1412
15,06300,France,Nice,20,1,1,2,510
16,06160,France,Juan les Pins,36,1,1,1,650
17,06000,France,Nice,17,1,1,2,480
18,06500,France,Menton,39.5,2,1,3,830
19,06000,France,Nice,30.92,2,1,1,650
20,06000,France,Nice,50.53,3,1,1,850
21,06000,France,Nice,54.06,2,1,1,765
22,06000,France,Nice,60,3,1,1,1000
23,06000,France,Nice,63,3,1,2,1040
24,06100,France,Nice,67,3,1,2,1150
25,06200,France,Nice,75,3,1,2,1300
26,06800,France,Cagnes sur Mer,80,4,1,1,1250
27,06130,France,Grasse,27,1,1,1,500
28,06130,France,Grasse,36,2,1,1,560
29,06300,France,Nice,30,1,1,2,580
30,06210,France,Mandelieu,26,1,1,1,600
31,06100,France,Nice,40,2,1,1,650
32,06000,France,Nice,38,2,1,1,600
33,06110,France,Le Cannet,40,2,1,,620
34,06130,France,Grasse,66,3,1,,700
35,06000,France,Nice,59.63,3,1,,1050
36,06000,France,Nice,77,3,1,,980
37,06100,France,Nice,24.94,1,1,,520
38,06580,France,Pegomas,27,1,1,,565
39,06800,France,Cagnes sur Mer,33,1,1,,600
40,06310,France,Beaulieu-sur-Mer,25,1,1,,600
41,06130,France,Grasse,42,2,1,,720
42,06000,France,Nice,45,2,1,,606
43,06100,France,Nice,36,2,1,,670
44,06200,France,Nice,70,3,1,,900
45,06270,France,Villeneuve Loubet,27,1,1,,600
46,06580,France,Pegomas,33,1,1,,650
47,06400,France,Cannes,30.6,2,1,,550
48,06500,France,Menton,38.21,2,1,,700
49,06000,France,Nice,34.21,2,1,,700
50,06400,France,Cannes,33,2,1,1,720
51,06570,France,Saint Paul,40,2,1,1,750
52,06000,France,Nice,50,3,1,2,780
53,06300,France,Nice,45,2,1,1,780
54,06580,France,Pégomas,48.72,2,1,1,790
55,06100,France,Nice,49,2,1,1,790.51
56,06000,France,Nice,50,2,1,1,800
57,06500,France,Menton,35,2,1,1,800
58,06160,France,Juan les Pins,47.8,2,1,1,840
59,06600,France,Antibes,56,2,1,1,880
60,06220,France,Vallauris,62.12,3,1,2,885
61,06330,France,Roquefort les Pins,39.25,2,1,1,890
62,06500,France,Menton,44.66,2,1,1,900
63,06210,France,Mandelieu la Napoule,60,3,1,2,900
64,06322,France,Vallauris,61.5,3,1,2,910
65,06000,France,Nice,45,2,1,1,920
66,06190,France,Roquebrune-Cap-Martin,48,2,1,1,935
67,06110,France,Le Cannet,64.9,3,1,2,950
68,06500,France,Menton,43,3,1,2,1000
69,06400,France,Cannes,44.61,2,1,1,1010
70,06000,France,Nice,67.14,3,1,2,1010
