ville,idTypeBien,surface gr,prix loc,prix achat,yield
Dijon,1,"(0, 35]",445.9333333333,149205.882352941,0.0358645377
Lyon 2ème,1,"(0, 35]",620,207000,0.035942029
Brest,1,"(0, 35]",377.6314285714,125600,0.0360794359
Paris 4ème,1,"(50, 80]",3040,1010000,0.0361188119
Paris 18ème,1,"(50, 80]",1755,575000,0.036626087
Lyon 5ème,1,"(35, 50]",740,240500,0.0369230769
Marseille 5ème,2,"(50, 80]",1145,369000,0.0372357724
Dijon,2,"(80, 999999]",1148.5717647059,368026.086956522,0.0374507723
Lyon 1er,1,"(50, 80]",902.5,288500,0.0375389948
Montpellier,1,"(35, 50]",630.2966666667,201411.23255814,0.0375528212
Villeurbanne,1,"(35, 50]",589.4266666667,187571.428571429,0.0377089414
Paris 6ème,1,"(80, 999999]",3583.8,1135000,0.0378903965
Lyon 9ème,1,"(50, 80]",602,187333.333333333,0.0385622776
Marseille 2ème,1,"(0, 35]",595,185000,0.0385945946
Le_Mans,1,"(0, 35]",347.7333333333,105683.571428571,0.0394839041
Nimes,1,"(35, 50]",481.9007692308,146160,0.0395649236
Lille,1,"(35, 50]",702.4128571429,212132.24137931,0.0397344328
Brest,2,"(80, 999999]",778.0464285714,234820,0.0397604852
Bordeaux,1,"(50, 80]",787.57,237195.263157895,0.0398441346
Bordeaux,1,"(80, 999999]",813.93,241200,0.0404940299
Reims,1,"(35, 50]",499.7308823529,147412.068965517,0.0406803231
Marseille 8ème,1,"(80, 999999]",2194,638200,0.0412535255
Dijon,2,"(35, 50]",627,182250,0.0412839506
Marseille 3ème,1,"(0, 35]",424,123083,0.0413379589
Marseille 5ème,1,"(35, 50]",537.875,154000,0.0419123377
Marseille 7ème,2,"(80, 999999]",4946.6666666667,1410800,0.0420754182
Lyon 8ème,2,"(80, 999999]",1053,299000,0.0422608696
Paris 10ème,1,"(80, 999999]",2800,789500,0.0425585814
Reims,2,"(80, 999999]",1056.4264705882,294211.486486486,0.0430884525
Marseille 8ème,1,"(50, 80]",908.3588888889,252384.615384615,0.0431892675
Marseille 9ème,2,"(80, 999999]",1700,470000,0.0434042553
Montpellier,2,"(80, 999999]",1361.987,372437.5,0.0438834543
Lille,1,"(50, 80]",875.1428571429,239266.666666667,0.043891255
Lyon 7ème,1,"(50, 80]",814.3333333333,222000,0.044018018
Lyon 9ème,1,"(0, 35]",490,132500,0.0443773585
Marseille 6ème,1,"(80, 999999]",1700,456000,0.0447368421
Nîmes,1,"(50, 80]",565,150552.631578947,0.045034085
Toulouse,1,"(50, 80]",691.8565909091,183092.37254902,0.0453447567
Grenoble,1,"(35, 50]",500.8,132485.714285714,0.0453603623
Nimes,1,"(0, 35]",482.8333333333,127190.333333333,0.0455537764
Nîmes,1,"(35, 50]",488.8333333333,127803.571428571,0.0458985608
Nîmes,2,"(80, 999999]",1123.29,293327.777777778,0.0459536431
Villeurbanne,1,"(50, 80]",795.5,207111.111111111,0.0460912017
Marseille 13ème,2,"(80, 999999]",1707,441780,0.04636697
Montpellier,1,"(50, 80]",809.7861904762,207145.484848485,0.0469111566
Lyon 3ème,1,"(50, 80]",840,213075,0.0473072862
Nîmes,1,"(80, 999999]",690,174390,0.0474797867
Marseille 9ème,1,"(0, 35]",530,131240,0.0484608351
Dijon,1,"(35, 50]",534.9651111111,131847.4,0.0486894799
Nice,2,"(80, 999999]",2579.7422222222,630100,0.0491301487
Saint_Etienne,1,"(0, 35]",346,82000,0.0506341463
Reims,1,"(50, 80]",637.4051851852,149116.014705882,0.0512947066
Paris 8ème,1,"(80, 999999]",5065,1177833.33333333,0.0516032263
Saint-Étienne,1,"(35, 50]",413.5714285714,94462.5,0.0525378552
Lille,2,"(80, 999999]",1381.2857142857,313583.333333333,0.0528581299
Paris 15ème,1,"(80, 999999]",2122.6666666667,474875,0.0536393788
Paris 19ème,1,"(80, 999999]",1926,429500,0.0538114086
Marseille 10ème,1,"(35, 50]",614.5,135750,0.054320442
Saint-Étienne,1,"(0, 35]",360,79500,0.0543396226
Nimes,2,"(80, 999999]",1102.4117647059,242081.818181818,0.0546465706
Paris 11ème,1,"(80, 999999]",2723.5,595000,0.0549277311
Marseille 3ème,1,"(35, 50]",560,120000,0.056
Paris 18ème,1,"(80, 999999]",2021,430666.666666667,0.0563126935
Nimes,1,"(50, 80]",577.6107407407,123000,0.0563522674
Saint_Etienne,1,"(50, 80]",440.8214285714,93833.3333333333,0.0563750317
Toulon,1,"(80, 999999]",885,188000,0.0564893617
Le_Havre,1,"(35, 50]",472.3571428571,100327.325581395,0.056497925
Nice,1,"(80, 999999]",1400.6666666667,297250,0.0565449958
Le_Mans,2,"(80, 999999]",846.4985714286,178198.761904762,0.0570036669
Marseille 13ème,1,"(35, 50]",595,124500,0.0573493976
Marseille 10ème,1,"(50, 80]",790,165000,0.0574545455
Marseille 13ème,1,"(50, 80]",767.8,160000,0.057585
Saint-Etienne,1,"(50, 80]",484.1428571429,100812.5,0.057628908
Saint-Étienne,1,"(50, 80]",455.1122222222,94688.7391304348,0.0576768338
Dijon,1,"(50, 80]",571.7984444444,117919.058823529,0.0581889086
Toulon,1,"(50, 80]",694.3157894737,142206.25,0.0585894746
Nîmes,1,"(0, 35]",456,93166.6666666667,0.0587334526
Rennes,1,"(50, 80]",659.4991111111,133855.547619048,0.059123357
Le_Havre,1,"(0, 35]",419.25,83600,0.0601794258
Nantes,1,"(50, 80]",635.4875,126598.225806452,0.0602366262
Marseille 12ème,1,"(50, 80]",881.6666666667,174333.333333333,0.0606883365
Lyon 5ème,1,"(50, 80]",835.7783333333,162000,0.0619095062
Marseille 9ème,1,"(35, 50]",657.5,126500,0.0623715415
Nice,2,"(50, 80]",2500,475000,0.0631578947
Marseille 9ème,1,"(50, 80]",797.5,148677.777777778,0.0643673866
Paris 17ème,1,"(80, 999999]",4043.1016666667,750000,0.0646896267
Brest,1,"(35, 50]",451.0657142857,83245.2941176471,0.0650221569
Lyon 8ème,1,"(35, 50]",699,128000,0.06553125
Marseille,2,"(80, 999999]",1266.6666666667,224000,0.0678571429
Marseille 10ème,1,"(0, 35]",603,106500,0.067943662
Le_Havre,1,"(50, 80]",515.3333333333,87326.0869565218,0.0708150361
Grenoble,1,"(80, 999999]",906.74,152250,0.0714671921
Lyon 3ème,1,"(80, 999999]",1597,267500,0.0716411215
Reims,1,"(80, 999999]",889.0013043478,146181.59375,0.0729778311
Le_Mans,1,"(35, 50]",455.6224074074,74693.9259259259,0.0731983066
Paris 13ème,1,"(80, 999999]",2067.5,338000,0.0734023669
Marseille 5ème,1,"(50, 80]",779.6,126833.333333333,0.0737597898
Marseille 6ème,1,"(50, 80]",900,145000,0.0744827586
Marseille 4ème,1,"(0, 35]",500,79333.3333333333,0.0756302521
Brest,1,"(80, 999999]",690.34,109525,0.07563643
Nantes,2,"(80, 999999]",1613,255670,0.075706966
Saint-Étienne,1,"(80, 999999]",1260,199000,0.0759798995
Toulouse,1,"(80, 999999]",1159.5714285714,182488.529411765,0.0762505851
Brest,1,"(50, 80]",542.4929824561,84726.2452830189,0.0768347018
Paris 16ème,1,"(80, 999999]",5167.9,806428.571428572,0.0769005492
Paris 12ème,1,"(80, 999999]",2627,409333.333333333,0.0770130293
Paris 14ème,1,"(50, 80]",1339.5,204375,0.0786495413
Lille,1,"(80, 999999]",1985.3333333333,291700,0.0816729517
Lyon 8ème,1,"(50, 80]",835,119689,0.0837169665
Dijon,1,"(80, 999999]",716.0471428571,100357.142857143,0.0856198719
Montpellier,1,"(80, 999999]",1150,160666.666666667,0.0858921162
Paris 10ème,1,"(50, 80]",1825,250000,0.0876
Saint_Etienne,1,"(35, 50]",396.8,54000,0.0881777778
Le_Mans,1,"(50, 80]",563.5341573034,73788.7717391304,0.0916455137
Marseille 12ème,1,"(80, 999999]",1101.6666666667,139000,0.0951079137
Marseille 9ème,1,"(80, 999999]",1020,127000,0.0963779528
Marseille 13ème,1,"(80, 999999]",1065.5,123000,0.1039512195
Le_Havre,4,"(80, 999999]",525,60000,0.105
Le_Mans,1,"(80, 999999]",800.2435714286,89220.0833333333,0.1076318526
Saint-Etienne,1,"(35, 50]",399.4,40566.6666666667,0.1181462613
Saint-Etienne,1,"(80, 999999]",1027,98733.3333333333,0.1248210668
Villeurbanne,1,"(80, 999999]",2000,188400,0.127388535
Rennes,1,"(80, 999999]",1111.815,100021,0.1333897881
Marseille 4ème,1,"(50, 80]",783,70000,0.1342285714
Marseille 1er,1,"(50, 80]",754.25,62000,0.145983871
Marseille 4ème,1,"(80, 999999]",1070,82000,0.1565853659
Lyon 5ème,1,"(80, 999999]",2476.6666666667,180000,0.1651111111
Nimes,1,"(80, 999999]",665.38125,47500,0.1680963158
Paris 18ème,1,"(35, 50]",1183.9,77500,0.1833135484
