,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
125,37300,France,Joue les Tours,49,2,1,1,506
126,37100,France,Tours,47.53,2,1,1,506
127,37170,France,Chambray les Tours,49.98,2,1,1,506
128,37000,France,Tours,45,2,1,1,507
129,37100,France,Tours,49,2,1,1,509
130,37100,France,Tours,49.16,2,1,1,509
131,37000,France,Tours,45,2,1,1,509
132,37300,France,Joue les Tours,48.6,2,1,1,509
133,37000,France,Tours,44.35,3,1,2,510
134,37000,France,Tours,42,2,1,1,510
135,37000,France,Tours,45,2,1,1,510
136,37100,France,Tours,43.26,2,1,1,510
137,37000,France,Tours,54,2,1,1,480
138,37520,France,La Riche,43.16,2,1,1,510
139,37700,France,La Ville-Aux-Dames,47.73,2,1,1,511
140,37000,France,Tours,38,2,1,1,512
141,37200,France,Tours,44,2,1,1,512
142,37000,France,Tours,32.13,2,1,1,513
143,37300,France,Joue les Tours,36.64,2,1,1,514
144,37000,France,Tours,41,2,1,1,515
145,37500,France,Chinon,59.34,3,1,2,518
146,37510,France,Ballan Mire,44,2,1,1,520
147,37520,France,La Riche,44.98,2,1,1,520
148,37200,France,Tours,42.38,2,1,1,520
149,37540,France,Saint Cyr sur Loire,47,2,1,1,520
150,37100,France,Tours,42.44,2,1,1,520
151,37520,France,La Riche,43,2,1,1,400
152,37700,France,La Ville-Aux-Dames,47.79,2,1,1,521
153,37100,France,Tours,44.37,2,1,1,522
154,37000,France,Tours,55,2,1,1,523
155,37300,France,Joué-Lès-Tours,51,3,1,2,525
156,37150,France,Blere,70,3,1,2,495
157,37200,France,Tours,44.68,2,1,1,525
158,37000,France,Tours,42.6,2,1,1,525
159,37000,France,Tours,39.79,2,1,1,525
160,37400,France,Amboise Centre Ville,60,3,1,2,525
161,37000,France,Tours,48.07,2,1,1,527
162,37200,France,Tours,40,2,1,1,527
163,37150,France,Blere,60.95,3,1,2,528
164,37000,France,Tours,52,2,1,1,528
165,37200,France,Tours,43.11,2,1,1,529
166,37520,France,La Riche,53.17,2,1,1,530
167,37170,France,Chambray-les Tours,31,2,1,1,531
168,37200,France,Tours,44.16,2,1,1,531
