,ville,idTypeBien,surface gr,prix loc,prix achat,yield,city,arr,price,yield bnb
44,Paris 15ème,1,"(50, 80]",1681.9722222222001,570750.0,0.0353634107,Paris,15ème,2730.0,0.004783180026281209
45,Paris 4ème,1,"(50, 80]",3040.0,1010000.0,0.0361188119,Paris,4ème,2730.0,0.0027029702970297028
46,Paris 18ème,1,"(50, 80]",1755.0,575000.0,0.036626087,Paris,18ème,2730.0,0.004747826086956522
47,Paris 14ème,1,"(50, 80]",1339.5,204375.0,0.0786495413,Paris,14ème,2730.0,0.013357798165137614
48,Paris 10ème,1,"(50, 80]",1825.0,250000.0,0.0876,Paris,10ème,2730.0,0.01092
49,Nice,9,"(0, 35]",480.0,380000.0,0.0151578947,Nice,,1410.624999999,0.0037121710526289474
50,Nice,1,"(0, 35]",600.7857142857,219908.333333333,0.0327837898,Nice,,1410.624999999,0.006414604570081484
51,Rennes,2,"(50, 80]",950.0,697000.0,0.0163558106,Rennes,,1080.0,0.0015494978479196557
52,Rennes,1,"(50, 80]",659.4991111111,133855.547619048,0.059123357,Rennes,,1080.0,0.008068399249866525
53,Nimes,2,"(50, 80]",901.0,645000.0,0.016762790700000002,Nimes,,1680.0,0.0026046511627906975
54,Nimes,1,"(50, 80]",577.6107407407,123000.0,0.0563522674,Nimes,,1680.0,0.013658536585365854
55,Bordeaux,1,"(0, 35]",546.9230769231,390005.555555556,0.016828162600000002,Bordeaux,,1520.714285715,0.003899211854940808
56,Toulouse,2,"(50, 80]",741.0,518250.0,0.0171577424,Toulouse,,2145.0,0.0041389290882778585
57,Toulouse,1,"(50, 80]",691.8565909091001,183092.37254902,0.0453447567,Toulouse,,2145.0,0.011715397917112638
58,Nantes,2,"(50, 80]",710.0,408673.33333333296,0.020847947,Nantes,,1305.0,0.003193259490057261
59,Nantes,1,"(50, 80]",635.4875,126598.225806452,0.060236626200000004,Nantes,,1305.0,0.010308201332893336
60,Marseille 7ème,1,"(0, 35]",600.0,299000.0,0.024080267599999997,Marseille,7ème,1190.9302325580002,0.003983044256046823
61,Marseille 6ème,1,"(0, 35]",493.2857142857,202000.0,0.029304101800000003,Marseille,6ème,1190.9302325580002,0.005895694220584159
62,Marseille 2ème,1,"(0, 35]",595.0,185000.0,0.0385945946,Marseille,2ème,1190.9302325580002,0.00643746071652973
63,Marseille 3ème,1,"(0, 35]",424.0,123083.0,0.0413379589,Marseille,3ème,1190.9302325580002,0.009675830395407979
64,Marseille 9ème,1,"(0, 35]",530.0,131240.0,0.048460835099999995,Marseille,9ème,1190.9302325580002,0.00907444553914965
65,Marseille 10ème,1,"(0, 35]",603.0,106500.0,0.067943662,Marseille,10ème,1190.9302325580002,0.011182443498197185
66,Marseille 4ème,1,"(0, 35]",500.0,79333.3333333333,0.0756302521,Marseille,4ème,1190.9302325580002,0.015011725620479
67,Toulon,1,"(0, 35]",453.5555555556,225566.666666667,0.0241288606,Toulon,,1359.999999999,0.006029259642377706
